stem,plate,label,length_px,signal_mean,signal_frac,straightness,signal_p25
P23_B03_ACT104_EGFR,PLATE_23,0,63.07475287922873,124.73015873015873,1.0,0.9956263397602082,106.0
P23_B03_ACT104_EGFR,PLATE_23,0,33.54645987057821,150.0,1.0,0.889213344331949,150.0
P23_B03_ACT104_EGFR,PLATE_23,0,49.36647512176407,150.0,1.0,0.14187214221118277,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,302.7226955721157,133.335,1.0,0.0,118.0
P23_B03_ACT104_EGFR,PLATE_23,1,500.8834023877308,135.44126074498567,1.0,0.0,141.0
P23_B03_ACT104_EGFR,PLATE_23,0,168.46491000980308,131.7549019607843,1.0,0.0,117.0
P23_B03_ACT104_EGFR,PLATE_23,1,64.64464561621196,150.0,1.0,0.036253711451457546,150.0
P23_B03_ACT104_EGFR,PLATE_23,0,34.91300981521596,145.6,1.0,0.26207995381745186,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,373.4786296888378,135.15444015444015,1.0,0.0,120.0
P23_B03_ACT104_EGFR,PLATE_23,0,786.3342880577275,127.74944320712694,1.0,0.043980137103979966,101.0
P23_B03_ACT104_EGFR,PLATE_23,0,125.72195032141312,148.92592592592592,1.0,0.0,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,960.0537955396096,138.93721144967682,1.0,0.2010837196690885,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,110.45052595560355,120.48076923076923,1.0,0.9972313660511896,82.0
P23_B03_ACT104_EGFR,PLATE_23,1,190.57403774248678,108.48484848484848,1.0,0.0,102.0
P23_B03_ACT104_EGFR,PLATE_23,1,412.635480940306,147.8230088495575,1.0,0.9911334049916429,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,753.9573905352424,134.46218487394958,1.0,0.10400063183601772,127.0
P23_B03_ACT104_EGFR,PLATE_23,0,148.25255762371035,147.02970297029702,1.0,0.0,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,611.0570017315897,112.34512022630834,1.0,0.18604704650682904,92.0
P23_B03_ACT104_EGFR,PLATE_23,0,387.99551246005547,140.61320754716982,1.0,0.6188905875826093,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,167.96519253267687,148.63716814159292,1.0,0.0,150.0
P23_B03_ACT104_EGFR,PLATE_23,0,126.5625025602479,132.23863636363637,1.0,0.0,120.0
P23_B03_ACT104_EGFR,PLATE_23,0,1152.1386542127666,141.25512934879572,1.0,0.10325579322724471,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,1025.8404640906674,125.41359223300971,1.0,0.0,105.0
P23_B03_ACT104_EGFR,PLATE_23,1,346.10152771459,150.0,1.0,0.3155797131170453,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,312.4976509822409,144.5990566037736,1.0,0.0,150.0
P23_B03_ACT104_EGFR,PLATE_23,0,59.73542832553681,147.88524590163934,1.0,0.985755468445307,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,1058.6194317875695,123.32367632367632,0.996003996003996,0.08059938223005113,102.0
P23_B03_ACT104_EGFR,PLATE_23,0,28.874388180380944,146.34375,1.0,0.8838315757039776,150.0
